"Symbol","Price","Change_24h_Pct","High_24h","Low_24h","Volume_24h","Volume_Value","Timestamp"
"1INCH","0,09242","1,32","0,09351","0,09056","43880,9","4042,13","2026-09-14T13:23:06.720Z"
"1INCHPERP","0,09178","1,12","0,09303","0,09071","2130","195,63","2026-09-14T13:23:40.187Z"
"1INCHT","0,09274","1,77","0,09322","0,09055","15556,5","1432,73","2026-09-14T13:23:00.245Z"
"2Z","0,04822","1,73","0,04822","0,04702","5281","252,58","2026-09-14T13:23:31.095Z"
"2ZPERP","0,04709","0","0,04709","0,04709","0","0","2026-09-14T13:23:27.927Z"
"A2Z","2,7734E-05","-8,35","3,026E-05","2,7174E-05","16708000","492,05","2026-09-14T13:23:37.124Z"
"AAOIPERP","101,09","-1,97","103,12","101,08","8,79","892,97","2026-09-14T13:23:39.003Z"
"AAPLPERP","333,37","0,37","333,37","328,78","33,31","11025,49","2026-09-14T13:23:40.428Z"
"AAVE","125,477","-0,23","127,871","123,927","329,336","41466,46","2026-09-14T13:23:39.754Z"
"AAVEPERP","125,753","0","127,478","124,044","13,91","1742,68","2026-09-14T13:23:34.219Z"
"AAVET","125,479","-0,24","127,77","123,952","5970,593","753253,61","2026-09-14T13:23:39.745Z"
"ACH","0,005192","1,13","0,005341","0,004997","215450","1125,28","2026-09-14T13:23:39.631Z"
"ACHPERP","0,005167","-0,02","0,00535","0,004986","213800","1106,3","2026-09-14T13:23:20.980Z"
"ACHT","0,005077","3,17","0,005257","0,004921","33060","171,07","2026-09-14T13:23:39.014Z"
"ACS","0,0001461","-1,62","0,0001506","0,0001455","2941500","432,87","2026-09-14T13:23:02.762Z"
"ACT","0,0097389","-0,22","0,0097603","0,0097389","1530","14,9","2026-09-14T13:23:27.012Z"
"ACTPERP","0,0094829","-2,34","0,0097735","0,0093955","20680","198,39","2026-09-14T13:23:02.464Z"
"ADABTC","2,678E-06","0,22","2,716E-06","2,641E-06","73391,5","15027,09","2026-09-14T13:23:39.711Z"
"ADAEUR","0,18075","2,09","0,18394","0,17465","45835,2","9522,44","2026-09-14T13:23:40.277Z"
"ADA","0,20831","1,94","0,21252","0,20223","15416362,4","3201339,2","2026-09-14T13:23:40.210Z"
"ADAPERP","0,20833","1,97","0,21243","0,2022","2738028","570499,62","2026-09-14T13:23:40.336Z"
"ADAT","0,20838","1,97","0,21264","0,20229","7201494,5","1495234,34","2026-09-14T13:23:40.106Z"
"ADBEPERP","258,21","2,19","258,21","252,36","4,83","1236,72","2026-09-14T13:23:20.501Z"
"ADI","8,746","-0,92","8,8274","8,5988","8146,34","70768,29","2026-09-14T13:23:39.711Z"
