"Symbol","Price","High24h","Low24h","Change","Volume","Timestamp"
"BTC","78728,50","79210,34","77000,00","-0,0060","369187764,81","2026-08-31T17:09:28.535Z"
"ETH","2470,71","2524,25","2387,24","-0,0209","214220636,83","2026-08-31T17:09:28.591Z"
"SOL","102,85","106,88","100,33","-0,0353","40717501,40","2026-08-31T17:09:28.616Z"
"XRP","1,3772","1,4335","1,3352","-0,0292","15925281,09","2026-08-31T17:09:28.540Z"
"ADA","0,19602","0,20598","0,18955","-0,0478","4384071,09","2026-08-31T17:09:28.595Z"
"DOGE","0,082936","0,086480","0,080802","-0,0386","2107834,16","2026-08-31T17:09:28.636Z"
"CRO","0,05611","0,06127","0,05509","-0,0593","1720572,89","2026-08-31T17:09:28.685Z"
"USDT","0,99978","1,00007","0,99949","-0,0002","1433627,02","2026-08-31T17:09:28.249Z"
"ARB","0,089064","0,090931","0,083134","-0,0071","759015,01","2026-08-31T17:09:28.317Z"
"HNT","0,6493","0,9660","0,5699","-0,2822","741867,34","2026-08-31T17:09:28.536Z"
"LINK","11,324","11,804","11,000","-0,0344","693004,73","2026-08-31T17:09:28.459Z"
"CASHCAT","0,20976","0,24071","0,17964","-0,1117","601715,52","2026-08-31T17:09:26.243Z"
"PAXG","4432,12","4476,57","4396,01","-0,0092","441343,95","2026-08-31T17:09:28.602Z"
"SUI","0,72221","0,76388","0,69759","-0,0482","407610,18","2026-08-31T17:09:28.507Z"
"XAUT","4425,25","4458,40","4389,04","-0,0073","406880,57","2026-08-31T17:09:28.698Z"
"HBAR","0,073211","0,076117","0,073000","-0,0314","392345,72","2026-08-31T17:09:28.466Z"
"LTC","48,357","50,016","47,438","-0,0326","274685,85","2026-08-31T17:09:28.508Z"
"HFT","0,030026","0,037985","0,024173","0,0386","274079,84","2026-08-07T12:53:00.258Z"
"SKR","0,030312","0,035630","0,017113","0,6800","246393,19","2026-08-31T17:09:26.417Z"
"XLM","0,17722","0,18232","0,17258","-0,0271","184630,75","2026-08-31T17:09:28.519Z"
"PEPE","0,000003558","0,000003808","0,000003350","-0,0629","161676,18","2026-08-31T17:09:28.539Z"
"DOT","0,8306","0,8652","0,8077","-0,0381","158950,85","2026-08-31T17:09:28.611Z"
"TRUMP","2,407","2,580","2,287","-0,0660","150631,63","2026-08-31T17:09:28.631Z"
"AVAX","7,198","7,453","7,015","-0,0333","131861,31","2026-08-31T17:09:28.411Z"
"TAO","227,22","241,48","224,30","-0,0569","119882,70","2026-08-31T17:09:28.468Z"
"SHIB","0,000005039","0,000005228","0,000004894","-0,0336","117567,61","2026-08-31T17:09:28.438Z"
"NEAR","1,8546","1,9257","1,7901","-0,0183","111881,51","2026-08-31T17:09:28.646Z"
"UNI","5,1292","5,4842","4,9818","-0,0418","110004,95","2026-08-31T17:09:28.642Z"
"HYPE","84,066","84,859","79,000","-0,0012","109500,46","2026-08-31T17:09:27.317Z"
"VET","0,0067398","0,0071344","0,0066480","-0,0493","87333,83","2026-08-31T17:09:28.526Z"
"BCH","246,61","254,70","239,45","-0,0291","78340,49","2026-08-31T17:09:28.508Z"
"ANIME","0,002895","0,003196","0,002666","0,0822","75912,61","2026-08-31T17:09:00.234Z"
